system,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,coverage
numeric_logit_benchmark,0.45554739162380603,0.4955384431392351,0.41812865497076024,0.7486910994764397,0.5365853658536586,-0.01022729454476034,0.5228869340278701,1.0
simple_momentum_sign,0.5216752387950037,0.5183611502378611,0.4398148148148148,0.4973821989528796,0.4668304668304668,0.036302625185435915,,1.0
best_single_fullsample::single_I60_ma0_vol0,0.5870683321087435,0.5590007397170471,0.5129107981220657,0.38132635253054104,0.43743743743743746,0.12563691592776735,0.5796915003410671,1.0
multiscale_fullsample::multi_20_60_ma1_vol1,0.47465099191770754,0.5202497541658915,0.43358278765201125,0.8089005235602095,0.5645554202192449,0.04870907612151666,0.5494586112809065,1.0
best_tail_rule::single_I60_ma0_vol0::q=0.025,0.6884057971014492,0.6953397212543554,0.782608695652174,0.6585365853658537,0.7152317880794702,0.38368286846562094,,0.050698016164584865
