sample_id,prob_up,label_up,pred_tail,correct_tail,forward_return,foreground_heat,background_heat,focus_group,contract,anchor_ts
16361,0.800147294998169,1,1,1,0.0019137258677963676,0.026071954518556595,0.9739280939102173,background_focused,SiU5,2025-09-08 18:15:00
16362,0.7702702283859253,1,1,1,0.0032174489365548453,0.028618400916457176,0.9713816046714783,background_focused,SiU5,2025-09-08 18:30:00
16363,0.7841020226478577,1,1,1,0.0032659652674837947,0.03121364116668701,0.968786358833313,background_focused,SiU5,2025-09-08 18:45:00
16511,0.3332090675830841,1,0,0,0.0016422119881476238,0.09745209664106369,0.9025478959083557,background_focused,SiU5,2025-09-12 15:00:00
16513,0.34379249811172485,0,0,1,-0.0040622964410492735,0.0926743894815445,0.9073255658149719,background_focused,SiU5,2025-09-12 15:30:00
16515,0.3486569821834564,0,0,1,-0.0030584664991227806,0.08942458778619766,0.9105755090713501,background_focused,SiU5,2025-09-12 16:00:00
16516,0.32939356565475464,0,0,1,-0.0027138810869745678,0.08633103221654892,0.9136689305305481,background_focused,SiU5,2025-09-12 16:15:00
16517,0.3252270519733429,0,0,1,-0.0028328611898017497,0.07764410227537155,0.9223559498786926,background_focused,SiU5,2025-09-12 16:30:00
16519,0.34937146306037903,0,0,1,-0.0013170853257710169,0.08239937573671341,0.9176005721092224,background_focused,SiU5,2025-09-12 17:00:00
16547,0.3488118350505829,1,0,0,0.001366103702987287,0.08670171350240707,0.9132983088493347,background_focused,SiU5,2025-09-15 13:45:00
16548,0.3289816081523895,1,0,0,0.0018269591414501463,0.08246742933988571,0.9175325632095337,background_focused,SiU5,2025-09-15 14:00:00
16549,0.3425232768058777,1,0,0,0.0005684223256938736,0.0839831531047821,0.9160168766975403,background_focused,SiU5,2025-09-15 14:15:00
16550,0.33628755807876587,1,0,0,0.00047158403869418386,0.08565903455018997,0.9143410325050354,background_focused,SiU5,2025-09-15 14:30:00
16557,0.35687825083732605,0,0,1,-0.0025691437393706718,0.07072760164737701,0.9292723536491394,background_focused,SiU5,2025-09-15 16:15:00
16559,0.3179413676261902,0,0,1,-0.0014123782276463936,0.06568186730146408,0.9343180656433105,background_focused,SiU5,2025-09-15 16:45:00
16560,0.30157288908958435,0,0,1,-0.0010749960744524945,0.06868325173854828,0.9313167929649353,background_focused,SiU5,2025-09-15 17:00:00
16563,0.33799996972084045,0,0,1,-0.001267794399971045,0.06923789530992508,0.9307620525360107,background_focused,SiU5,2025-09-15 17:45:00
16568,0.8191806674003601,1,1,1,0.004171553631669989,0.04231950268149376,0.9576804637908936,background_focused,SiU5,2025-09-16 08:45:00
16569,0.7766407132148743,1,1,1,0.006146348559790571,0.057688966393470764,0.9423109889030457,background_focused,SiU5,2025-09-16 09:00:00
16570,0.7752562761306763,1,1,1,0.006091198097410544,0.05698785185813904,0.9430122375488281,background_focused,SiU5,2025-09-16 09:15:00
16571,0.7960048317909241,1,1,1,0.006733475686693247,0.06037598103284836,0.939624011516571,background_focused,SiU5,2025-09-16 09:30:00
16573,0.7769604325294495,1,1,1,0.003639705437792573,0.06503000110387802,0.9349700212478638,background_focused,SiU5,2025-09-16 10:00:00
16575,0.7812358736991882,1,1,1,0.0023983705542767186,0.07019063830375671,0.9298093914985657,background_focused,SiU5,2025-09-16 10:30:00
16576,0.7807396650314331,1,1,1,0.00273787555330407,0.06967292726039886,0.9303270578384399,background_focused,SiU5,2025-09-16 10:45:00
16952,0.31564635038375854,0,0,1,-0.0030599020831333368,0.07835617661476135,0.9216437935829163,background_focused,SiZ5,2025-10-01 12:30:00
16953,0.3454038202762604,0,0,1,-0.0034840702560970938,0.08163810521364212,0.9183619618415833,background_focused,SiZ5,2025-10-01 12:45:00
16954,0.3013705611228943,0,0,1,-0.001616185801508463,0.07495471835136414,0.9250452518463135,background_focused,SiZ5,2025-10-01 13:00:00
16956,0.3133532702922821,0,0,1,-0.003213743832359617,0.08382796496152878,0.9161720871925354,background_focused,SiZ5,2025-10-01 13:30:00
16967,0.3391936123371124,0,0,1,-0.0028763183125599667,0.07838013023138046,0.9216199517250061,background_focused,SiZ5,2025-10-01 16:15:00
17073,0.30553993582725525,0,0,1,-0.0038332252167246894,0.06841469556093216,0.931585431098938,background_focused,SiZ5,2025-10-06 12:00:00
17211,0.3460146486759186,0,0,1,-0.0015293442936340496,0.0619332417845726,0.9380666613578796,background_focused,SiZ5,2025-10-09 15:45:00
17212,0.30748358368873596,0,0,1,-0.0011112571544646954,0.06510855257511139,0.9348915219306946,background_focused,SiZ5,2025-10-09 16:00:00
17213,0.3341115713119507,1,0,0,0.0005505092210293938,0.06688132882118225,0.9331187009811401,background_focused,SiZ5,2025-10-09 16:15:00
17214,0.3061443269252777,0,0,1,-0.0009677650600969923,0.06427306681871414,0.935727059841156,background_focused,SiZ5,2025-10-09 16:30:00
