coverage,rows_kept,tail_low_thr,tail_high_thr,accuracy,balanced_accuracy,precision,recall,f1,mcc,tail_q_each_side,source
0.020096762188314105,54,0.16073820178577825,0.8330775720692695,0.7037037037037037,0.7538461538461538,0.48148148148148145,0.8666666666666667,0.6190476190476191,0.45479402682709763,0.01,HOG_I120_ma0_vol0
0.030517305545217716,82,0.17804989792688045,0.819211701342435,0.6463414634146342,0.6767241379310345,0.43902439024390244,0.75,0.5538461538461539,0.32163376045133846,0.015,HOG_I120_ma0_vol0
0.05061406773353182,136,0.19892295766025705,0.797506444256892,0.6176470588235294,0.6377912867274569,0.4264705882352941,0.6904761904761905,0.5272727272727272,0.2546428056316921,0.025,HOG_I120_ma0_vol0
0.10048381094157052,270,0.24174740465321734,0.7572270296068628,0.5888888888888889,0.5961082107261509,0.45185185185185184,0.6224489795918368,0.5236051502145923,0.18485618263446585,0.05,HOG_I120_ma0_vol0
0.20022329735764793,538,0.2964851793892058,0.7183028434284771,0.5836431226765799,0.5893529385712388,0.45724907063197023,0.6119402985074627,0.5234042553191489,0.17290180800011357,0.1,HOG_I120_ma0_vol0
