run_name,scale,include_ma,include_volume,best_epoch,best_val_auc,threshold,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_mcc,test_roc_auc
single_I60_ma0_vol0,60,False,False,5,0.5694819863934918,0.6,0.5870683321087435,0.5590007397170471,0.5129107981220657,0.38132635253054104,0.43743743743743746,0.12563691592776735,0.5796915003410671
single_I60_ma0_vol1,60,False,True,7,0.5697084251849794,0.5599999999999999,0.5360029390154298,0.5491856468316191,0.46266751754945756,0.6326352530541012,0.5344636933284187,0.09826826940661328,0.5785619922750507
single_I60_ma1_vol1,60,True,True,3,0.5543364067279921,0.5149999999999999,0.4856722997795738,0.5272676535466554,0.43852855759922554,0.7905759162303665,0.564134495641345,0.06295512638662905,0.5556033566322056
single_I60_ma1_vol0,60,True,False,2,0.5636485907375552,0.3999999999999999,0.46693607641440116,0.5157300608605523,0.4305239179954442,0.824607329842932,0.5656988925471416,0.0393104707040985,0.5874134043816054
