sample_id,prob_up,label_up,pred_tail,correct_tail,forward_return,foreground_heat_dilated,background_heat,price_foreground_heat,volume_foreground_heat,recent_right_edge_heat,focus_group,contract,anchor_ts
16291,0.8767510652542114,1,1,1,0.0023983705542767186,0.12091824412345886,0.879081666469574,0.12091824412345886,0.0,0.02835962362587452,background_focused,SiU5,2025-09-16 10:30:00
16292,0.8836178183555603,1,1,1,0.00273787555330407,0.1166924461722374,0.8833076357841492,0.1166924461722374,0.0,0.029107611626386642,background_focused,SiU5,2025-09-16 10:45:00
16294,0.8751968741416931,1,1,1,0.005525062262736746,0.12940345704555511,0.8705965280532837,0.12940345704555511,0.0,0.02591434307396412,background_focused,SiU5,2025-09-16 11:15:00
16295,0.8731583952903748,1,1,1,0.00676949857357001,0.11683382838964462,0.8831662535667419,0.11683382838964462,0.0,0.02464567869901657,background_focused,SiU5,2025-09-16 11:30:00
16296,0.8717933297157288,1,1,1,0.008815207139229564,0.11711806058883667,0.8828819394111633,0.11711806058883667,0.0,0.018474848940968513,background_focused,SiU5,2025-09-16 11:45:00
16297,0.8760519027709961,1,1,1,0.009131977666622326,0.12335053086280823,0.8766494393348694,0.12335053086280823,0.0,0.019091695547103882,background_focused,SiU5,2025-09-16 12:00:00
16903,0.07339570671319962,0,0,1,-0.0013257213835276005,0.13956990838050842,0.8604300618171692,0.13956990838050842,0.0,0.02592829242348671,background_focused,SiZ5,2025-10-10 09:45:00
16905,0.07506628334522247,1,0,0,0.0005504367596027571,0.11069297045469284,0.8893070220947266,0.11069297045469284,0.0,0.036648787558078766,background_focused,SiZ5,2025-10-10 10:15:00
16906,0.05736589431762695,1,0,0,0.0012459417043044763,0.13031114637851715,0.869688868522644,0.13031114637851715,0.0,0.03075355850160122,background_focused,SiZ5,2025-10-10 10:30:00
16907,0.07241971790790558,1,0,0,0.0016655283559197098,0.12123850733041763,0.8787614107131958,0.12123850733041763,0.0,0.05005144327878952,background_focused,SiZ5,2025-10-10 10:45:00
16962,0.07419399172067642,0,0,1,-0.005870295576659523,0.160555899143219,0.839444100856781,0.160555899143219,0.0,0.015883533284068108,background_focused,SiZ5,2025-10-13 14:15:00
16964,0.07688100636005402,0,0,1,-0.0078001041628816825,0.18878069519996643,0.8112191557884216,0.18878069519996643,0.0,0.017263196408748627,background_focused,SiZ5,2025-10-13 14:45:00
16965,0.07147775590419769,0,0,1,-0.006762079036343183,0.18948659300804138,0.8105133175849915,0.18948659300804138,0.0,0.01935112662613392,background_focused,SiZ5,2025-10-13 15:00:00
16966,0.05899546667933464,0,0,1,-0.008076038261290663,0.1721515655517578,0.8278483152389526,0.1721515655517578,0.0,0.018026646226644516,background_focused,SiZ5,2025-10-13 15:15:00
16967,0.06007543206214905,0,0,1,-0.006702867809265212,0.18250945210456848,0.8174904584884644,0.18250945210456848,0.0,0.020106622949242592,background_focused,SiZ5,2025-10-13 15:30:00
16968,0.05635315179824829,0,0,1,-0.007152902381067805,0.1673290729522705,0.8326708674430847,0.1673290729522705,0.0,0.02059936337172985,background_focused,SiZ5,2025-10-13 15:45:00
16969,0.0642366111278534,0,0,1,-0.007237328613512117,0.1888074278831482,0.8111926317214966,0.1888074278831482,0.0,0.021029802039265633,background_focused,SiZ5,2025-10-13 16:00:00
16970,0.061699893325567245,0,0,1,-0.005584421890933777,0.17853185534477234,0.8214682936668396,0.17853185534477234,0.0,0.020900171250104904,background_focused,SiZ5,2025-10-13 16:15:00
16971,0.055407002568244934,0,0,1,-0.003950983490967452,0.17433972656726837,0.8256602883338928,0.17433972656726837,0.0,0.02671748399734497,background_focused,SiZ5,2025-10-13 16:30:00
16972,0.06144369766116142,0,0,1,-0.00408078992433536,0.17394281923770905,0.8260571360588074,0.17394281923770905,0.0,0.035643480718135834,background_focused,SiZ5,2025-10-13 16:45:00
16973,0.08053610473871231,0,0,1,-0.00286867311712935,0.1714656800031662,0.8285343050956726,0.1714656800031662,0.0,0.027170583605766296,background_focused,SiZ5,2025-10-13 17:00:00
16974,0.06628648936748505,0,0,1,-0.0015942558111232685,0.14900323748588562,0.850996732711792,0.14900323748588562,0.0,0.02812037244439125,background_focused,SiZ5,2025-10-13 17:15:00
16975,0.08126698434352875,0,0,1,-0.0031148478469831264,0.15997450053691864,0.8400255441665649,0.15997450053691864,0.0,0.031474579125642776,background_focused,SiZ5,2025-10-13 17:30:00
17024,0.8952067494392395,0,1,0,-0.004817907792657006,0.11598142981529236,0.8840186595916748,0.11598142981529236,0.0,0.044197600334882736,background_focused,SiZ5,2025-10-15 09:15:00
17633,0.07373358309268951,1,0,0,0.002186102808586332,0.1720256209373474,0.8279744386672974,0.1720256209373474,0.0,0.022470146417617798,background_focused,SiZ5,2025-11-03 18:00:00
17655,0.9125574827194214,0,1,0,-0.0016419568261940576,0.14723505079746246,0.8527649641036987,0.14723505079746246,0.0,0.005846973974257708,background_focused,SiZ5,2025-11-05 13:15:00
17659,0.9223835468292236,1,1,1,0.0006285735007918181,0.14227966964244843,0.8577203750610352,0.14227966964244843,0.0,0.009341231547296047,background_focused,SiZ5,2025-11-05 14:15:00
17660,0.9183480739593506,1,1,1,0.001270417422867487,0.14014381170272827,0.8598561882972717,0.14014381170272827,0.0,0.00998633448034525,background_focused,SiZ5,2025-11-05 14:30:00
17661,0.9355805516242981,1,1,1,0.0005439709882140153,0.14968790113925934,0.8503121733665466,0.14968790113925934,0.0,0.007851524278521538,background_focused,SiZ5,2025-11-05 14:45:00
17662,0.9168378710746765,1,1,1,0.0016084947875094624,0.14482936263084412,0.8551706671714783,0.14482936263084412,0.0,0.00897655077278614,background_focused,SiZ5,2025-11-05 15:00:00
17663,0.9261564016342163,1,1,1,0.0013905178772233295,0.13593478500843048,0.8640652298927307,0.13593478500843048,0.0,0.010393105447292328,background_focused,SiZ5,2025-11-05 15:15:00
17664,0.9253126978874207,1,1,1,0.0019353590090962491,0.14781920611858368,0.8521808385848999,0.14781920611858368,0.0,0.010724269784986973,background_focused,SiZ5,2025-11-05 15:30:00
17665,0.926207959651947,1,1,1,0.0017056795499910127,0.14366918802261353,0.8563307523727417,0.14366918802261353,0.0,0.012485913001000881,background_focused,SiZ5,2025-11-05 15:45:00
17666,0.8925681710243225,1,1,1,0.0023486114137671876,0.12723734974861145,0.8727627396583557,0.12723734974861145,0.0,0.01588428020477295,background_focused,SiZ5,2025-11-05 16:00:00
17667,0.9032101035118103,1,1,1,0.0029437774843421582,0.13793238997459412,0.8620675206184387,0.13793238997459412,0.0,0.022869648411870003,background_focused,SiZ5,2025-11-05 16:15:00
17668,0.8971817493438721,1,1,1,0.0031751802702539855,0.1327844262123108,0.8672155737876892,0.1327844262123108,0.0,0.024829287081956863,background_focused,SiZ5,2025-11-05 16:30:00
17669,0.912596583366394,1,1,1,0.001437718980306979,0.13690197467803955,0.8630979657173157,0.13690197467803955,0.0,0.02412506565451622,background_focused,SiZ5,2025-11-05 16:45:00
17670,0.8812735676765442,1,1,1,0.0009066183136898776,0.13809731602668762,0.8619025945663452,0.13809731602668762,0.0,0.02845003269612789,background_focused,SiZ5,2025-11-05 17:00:00
17671,0.9013740420341492,1,1,1,0.0015109757276858815,0.13061849772930145,0.8693814277648926,0.13061849772930145,0.0,0.030450424179434776,background_focused,SiZ5,2025-11-05 17:15:00
17672,0.8942151069641113,1,1,1,0.003037564139800608,0.14508305490016937,0.8549169898033142,0.14508305490016937,0.0,0.028665686026215553,background_focused,SiZ5,2025-11-05 17:30:00
17673,0.8891583681106567,1,1,1,0.0021299512289576494,0.13874176144599915,0.8612582683563232,0.13874176144599915,0.0,0.03172525390982628,background_focused,SiZ5,2025-11-05 17:45:00
17674,0.8673608899116516,1,1,1,0.0019244502003121777,0.13545165956020355,0.8645482063293457,0.13545165956020355,0.0,0.02949175238609314,background_focused,SiZ5,2025-11-05 18:00:00
