coverage,rows_kept,tail_low_thr,tail_high_thr,accuracy,balanced_accuracy,precision,recall,f1,mcc,tail_q_each_side,source
0.020096762188314105,54,0.08135445952415467,0.8668545949459076,0.8333333333333334,0.8337912087912087,0.8148148148148148,0.8461538461538461,0.8301886792452831,0.667124384994991,0.01,single_I120_ma0_vol0
0.020096762188314105,54,0.3835131418704987,0.5775671422481536,0.7962962962962963,0.8068181818181819,0.7037037037037037,0.8636363636363636,0.7755102040816326,0.6030226891555273,0.01,multi_gated_20_60_120_ma0_vol0
0.020096762188314105,54,0.28734236776828764,0.6017000532150268,0.7777777777777778,0.7922077922077921,0.6666666666666666,0.8571428571428571,0.75,0.5698028822981898,0.01,multi_gated_20_60_120_ma1_vol1
0.030517305545217716,82,0.2897134006023407,0.5988305705785751,0.7804878048780488,0.7866261398176292,0.7073170731707317,0.8285714285714286,0.7631578947368421,0.5670807236297686,0.015,multi_gated_20_60_120_ma1_vol1
0.030517305545217716,82,0.08961838714778424,0.8471627044677736,0.7804878048780488,0.7831831831831833,0.7317073170731707,0.8108108108108109,0.7692307692307693,0.5636645436052526,0.015,single_I120_ma0_vol0
0.05061406773353182,136,0.09913301318883896,0.8102147340774536,0.7426470588235294,0.7439660795825179,0.7058823529411765,0.7619047619047619,0.732824427480916,0.4866113507241897,0.025,single_I120_ma0_vol0
0.05061406773353182,136,0.29572139382362367,0.5953075140714645,0.7279411764705882,0.7279904823707549,0.7205882352941176,0.7313432835820896,0.725925925925926,0.45593165617529463,0.025,multi_gated_20_60_120_ma1_vol1
0.030517305545217716,82,0.385711832344532,0.5708156150579453,0.7195121951219512,0.7228260869565217,0.6585365853658537,0.75,0.7012987012987013,0.44232586846469135,0.015,multi_gated_20_60_120_ma0_vol0
0.10048381094157052,270,0.4055804342031479,0.5489639580249787,0.7185185185185186,0.7197241379310344,0.7555555555555555,0.7034482758620689,0.7285714285714285,0.4382409980978424,0.05,multi_gated_20_60_120_ma0_vol0
0.05061406773353182,136,0.38782400339841844,0.5630669474601746,0.7132352941176471,0.7143944335725158,0.6764705882352942,0.7301587301587301,0.7022900763358778,0.4276281566970152,0.025,multi_gated_20_60_120_ma0_vol0
0.20022329735764793,538,0.4217459917068481,0.5344967365264893,0.620817843866171,0.6209850403398791,0.6394052044609665,0.6164874551971327,0.6277372262773723,0.24180282640139597,0.1,multi_gated_20_60_120_ma0_vol0
0.10048381094157052,270,0.12203756794333459,0.7349336802959436,0.6185185185185185,0.6190476190476191,0.5851851851851851,0.626984126984127,0.6053639846743295,0.23756554836659943,0.05,single_I120_ma0_vol0
0.20022329735764793,538,0.3975081920623779,0.5732417821884155,0.5855018587360595,0.5861315291235104,0.5427509293680297,0.5934959349593496,0.566990291262136,0.1716322328216839,0.1,multi_gated_20_60_120_ma1_vol1
0.10048381094157052,270,0.3429230600595474,0.5856215417385101,0.5814814814814815,0.5822441293752769,0.5333333333333333,0.5901639344262295,0.5603112840466926,0.1637238346075756,0.05,multi_gated_20_60_120_ma1_vol1
0.20022329735764793,538,0.1559192031621933,0.6616421580314636,0.5594795539033457,0.5597777777777777,0.5241635687732342,0.564,0.5433526011560693,0.11925695879998878,0.1,single_I120_ma0_vol0
