sample_id,prob_up,label_up,pred_tail,correct_tail,forward_return,foreground_heat_dilated,background_heat,price_foreground_heat,volume_foreground_heat,recent_right_edge_heat,focus_group,contract,anchor_ts
16955,0.3829171657562256,0,0,1,-0.003673172505758271,0.0011653043329715729,0.9988346695899963,0.0011653043329715729,0.0,0.006603467743843794,background_focused,SiZ5,2025-10-13 12:30:00
16956,0.3826618194580078,0,0,1,-0.00438405270551756,0.0017859558574855328,0.998214066028595,0.0017859558574855328,0.0,0.00689708860591054,background_focused,SiZ5,2025-10-13 12:45:00
16957,0.382085382938385,0,0,1,-0.004046179752141166,0.0013372653629630804,0.9986627101898193,0.0013372653629630804,0.0,0.005605101585388184,background_focused,SiZ5,2025-10-13 13:00:00
16958,0.38064417243003845,0,0,1,-0.004364112448630775,0.0013509307755157351,0.9986491203308105,0.0013509307755157351,0.0,0.0065565211698412895,background_focused,SiZ5,2025-10-13 13:15:00
16959,0.37982872128486633,0,0,1,-0.006503887798851804,0.0007818345911800861,0.9992181658744812,0.0007818345911800861,0.0,0.006264167372137308,background_focused,SiZ5,2025-10-13 13:30:00
16960,0.37964779138565063,0,0,1,-0.005490909090909102,0.0008400827646255493,0.9991598725318909,0.0008400827646255493,0.0,0.008295118808746338,background_focused,SiZ5,2025-10-13 13:45:00
16961,0.37859949469566345,0,0,1,-0.006908923420038349,0.0007034356240183115,0.9992966651916504,0.0007034356240183115,0.0,0.009028713218867779,background_focused,SiZ5,2025-10-13 14:00:00
16962,0.37707293033599854,0,0,1,-0.005870295576659523,0.0009251766023226082,0.9990748167037964,0.0009251766023226082,0.0,0.012309106066823006,background_focused,SiZ5,2025-10-13 14:15:00
16963,0.3753187656402588,0,0,1,-0.00825224482871445,0.0008882794063538313,0.9991117715835571,0.0008882794063538313,0.0,0.012488298118114471,background_focused,SiZ5,2025-10-13 14:30:00
16964,0.37329423427581787,0,0,1,-0.0078001041628816825,0.0012655488681048155,0.9987344741821289,0.0012655488681048155,0.0,0.02025512419641018,background_focused,SiZ5,2025-10-13 14:45:00
16965,0.37218302488327026,0,0,1,-0.006762079036343183,0.0010215871734544635,0.9989784359931946,0.0010215871734544635,0.0,0.020464425906538963,background_focused,SiZ5,2025-10-13 15:00:00
16966,0.37084224820137024,0,0,1,-0.008076038261290663,0.0003947856603190303,0.9996051788330078,0.0003947856603190303,0.0,0.020231768488883972,background_focused,SiZ5,2025-10-13 15:15:00
16967,0.37131598591804504,0,0,1,-0.006702867809265212,0.00015304777480196208,0.9998469948768616,0.00015304777480196208,0.0,0.019996000453829765,background_focused,SiZ5,2025-10-13 15:30:00
16968,0.3730768859386444,0,0,1,-0.007152902381067805,0.0005551473586820066,0.999444842338562,0.0005551473586820066,0.0,0.02403399348258972,background_focused,SiZ5,2025-10-13 15:45:00
16969,0.3733404576778412,0,0,1,-0.007237328613512117,0.0014150264905765653,0.9985849261283875,0.0014150264905765653,0.0,0.026408428326249123,background_focused,SiZ5,2025-10-13 16:00:00
16970,0.37804579734802246,0,0,1,-0.005584421890933777,0.0005217075231485069,0.9994783401489258,0.0005217075231485069,0.0,0.02282385528087616,background_focused,SiZ5,2025-10-13 16:15:00
16971,0.381695419549942,0,0,1,-0.003950983490967452,0.0033123325556516647,0.996687650680542,0.0033123325556516647,0.0,0.024664653465151787,background_focused,SiZ5,2025-10-13 16:30:00
16972,0.3822155296802521,0,0,1,-0.00408078992433536,0.005355089902877808,0.9946449398994446,0.005355089902877808,0.0,0.031684860587120056,background_focused,SiZ5,2025-10-13 16:45:00
17341,0.3802476227283478,0,0,1,-0.0026173507004177976,0.0015158376190811396,0.9984841346740723,0.0015158376190811396,0.0,0.007940868847072124,background_focused,SiZ5,2025-10-24 16:45:00
17342,0.37987321615219116,0,0,1,-0.001636157858478482,0.0015226711984723806,0.9984773397445679,0.0015226711984723806,0.0,0.009516598656773567,background_focused,SiZ5,2025-10-24 17:00:00
17343,0.37987378239631653,0,0,1,-0.001783825012917406,0.0009120050817728043,0.999087929725647,0.0009120050817728043,0.0,0.009398773312568665,background_focused,SiZ5,2025-10-24 17:15:00
