open,close,high,low,value,volume,begin,end,SECID
109401,109401,109401,109401,0,1,2025-03-14 16:38:00,2025-03-14 16:38:59,SiH7
124770,124770,124770,124770,0,1,2025-03-14 16:47:00,2025-03-14 16:47:59,SiH7
117390,117390,117390,117390,0,1,2025-03-28 16:28:00,2025-03-28 16:28:59,SiH7
119474,119474,119474,119474,0,1,2025-03-31 19:57:00,2025-03-31 19:57:59,SiH7
117999,117999,117999,117999,0,1,2025-04-01 20:12:00,2025-04-01 20:12:59,SiH7
119027,119027,119027,119027,0,1,2025-04-07 10:40:00,2025-04-07 10:40:59,SiH7
119027,119027,119027,119027,0,1,2025-04-07 11:03:00,2025-04-07 11:03:59,SiH7
119001,119001,119001,119001,0,1,2025-04-09 13:59:00,2025-04-09 13:59:59,SiH7
119999,120000,120000,119999,0,2,2025-04-09 15:52:00,2025-04-09 15:52:59,SiH7
119798,119798,119798,119798,0,1,2025-04-15 23:16:00,2025-04-15 23:16:59,SiH7
117376,117375,117376,117375,0,2,2025-04-17 19:24:00,2025-04-17 19:24:59,SiH7
118942,118942,118942,118942,0,1,2025-04-21 22:10:00,2025-04-21 22:10:59,SiH7
116851,116850,116851,116850,0,2,2025-04-22 15:32:00,2025-04-22 15:32:59,SiH7
116770,116770,116770,116770,0,2,2025-04-22 15:36:00,2025-04-22 15:36:59,SiH7
116700,116700,116700,116700,0,1,2025-04-22 20:56:00,2025-04-22 20:56:59,SiH7
116100,116100,116100,116100,0,1,2025-04-24 21:13:00,2025-04-24 21:13:59,SiH7
116100,116100,116100,116100,0,1,2025-04-25 14:43:00,2025-04-25 14:43:59,SiH7
115703,115703,115703,115703,0,1,2025-04-28 18:13:00,2025-04-28 18:13:59,SiH7
116100,116100,116100,116100,0,1,2025-04-28 22:14:00,2025-04-28 22:14:59,SiH7
116000,116000,116000,116000,0,1,2025-05-02 11:16:00,2025-05-02 11:16:59,SiH7
116999,120926,120926,116999,0,5,2025-05-02 11:17:00,2025-05-02 11:17:59,SiH7
116036,106325,116036,106325,0,27,2025-05-02 19:12:00,2025-05-02 19:12:59,SiH7
114247,114246,114247,114246,0,5,2025-05-02 19:13:00,2025-05-02 19:13:59,SiH7
116079,116080,116080,116079,0,4,2025-05-02 21:33:00,2025-05-02 21:33:59,SiH7
115006,115006,115006,115006,0,1,2025-05-02 22:38:00,2025-05-02 22:38:59,SiH7
114200,114200,114200,114200,0,1,2025-05-05 14:10:00,2025-05-05 14:10:59,SiH7
114200,114200,114200,114200,0,1,2025-05-05 16:55:00,2025-05-05 16:55:59,SiH7
113086,114200,114200,113086,0,2,2025-05-05 16:56:00,2025-05-05 16:56:59,SiH7
112526,112526,112526,112526,0,1,2025-05-05 16:57:00,2025-05-05 16:57:59,SiH7
113018,113028,113028,113018,0,2,2025-05-05 17:03:00,2025-05-05 17:03:59,SiH7
113865,113865,113865,113865,0,1,2025-05-05 19:07:00,2025-05-05 19:07:59,SiH7
114164,114164,114164,114164,0,1,2025-05-05 19:12:00,2025-05-05 19:12:59,SiH7
113591,113591,113591,113591,0,1,2025-05-06 09:27:00,2025-05-06 09:27:59,SiH7
112821,112821,112821,112821,0,1,2025-05-07 11:56:00,2025-05-07 11:56:59,SiH7
112406,112357,112406,112357,0,3,2025-05-12 18:28:00,2025-05-12 18:28:59,SiH7
111904,111904,111904,111904,0,1,2025-05-13 20:52:00,2025-05-13 20:52:59,SiH7
111113,111113,111113,111113,0,1,2025-05-21 09:41:00,2025-05-21 09:41:59,SiH7
111202,111202,111202,111202,0,1,2025-05-21 13:50:00,2025-05-21 13:50:59,SiH7
111111,111111,111111,111111,0,1,2025-05-21 13:51:00,2025-05-21 13:51:59,SiH7
111111,111111,111111,111111,0,1,2025-05-21 13:53:00,2025-05-21 13:53:59,SiH7
111111,111111,111111,111111,0,2,2025-05-21 13:57:00,2025-05-21 13:57:59,SiH7
111111,111111,111111,111111,0,1,2025-05-21 14:05:00,2025-05-21 14:05:59,SiH7
111000,111000,111000,111000,0,1,2025-05-21 14:12:00,2025-05-21 14:12:59,SiH7
111000,111000,111000,111000,0,1,2025-05-21 18:03:00,2025-05-21 18:03:59,SiH7
111000,111000,111000,111000,0,3,2025-05-21 18:04:00,2025-05-21 18:04:59,SiH7
111000,111000,111000,111000,0,1,2025-05-21 18:07:00,2025-05-21 18:07:59,SiH7
110735,110735,110735,110735,0,1,2025-05-22 16:35:00,2025-05-22 16:35:59,SiH7
110376,110376,110376,110376,0,1,2025-05-22 18:29:00,2025-05-22 18:29:59,SiH7
111111,111111,111111,111111,0,2,2025-05-23 11:00:00,2025-05-23 11:00:59,SiH7
111000,111000,111000,111000,0,1,2025-05-23 12:37:00,2025-05-23 12:37:59,SiH7
110375,110375,110375,110375,0,1,2025-05-26 09:17:00,2025-05-26 09:17:59,SiH7
112116,112116,112116,112116,0,1,2025-05-27 15:48:00,2025-05-27 15:48:59,SiH7
109765,109765,109765,109765,0,1,2025-05-28 22:30:00,2025-05-28 22:30:59,SiH7
110999,110999,110999,110999,0,1,2025-05-29 10:59:00,2025-05-29 10:59:59,SiH7
110015,110015,110015,110015,0,1,2025-05-29 12:57:00,2025-05-29 12:57:59,SiH7
110015,110015,110015,110015,0,1,2025-05-29 13:50:00,2025-05-29 13:50:59,SiH7
110001,110001,110001,110001,0,1,2025-05-29 14:29:00,2025-05-29 14:29:59,SiH7
110000,110000,110000,110000,0,9,2025-05-29 14:47:00,2025-05-29 14:47:59,SiH7
110000,110000,110000,110000,0,2,2025-05-29 15:27:00,2025-05-29 15:27:59,SiH7
109778,109777,109778,109777,0,2,2025-06-02 12:19:00,2025-06-02 12:19:59,SiH7
109754,109754,109754,109754,0,1,2025-06-02 16:33:00,2025-06-02 16:33:59,SiH7
109753,109753,109753,109753,0,1,2025-06-02 16:34:00,2025-06-02 16:34:59,SiH7
109000,109000,109000,109000,0,5,2025-06-03 11:50:00,2025-06-03 11:50:59,SiH7
108025,104177,108025,104177,0,18,2025-06-05 10:07:00,2025-06-05 10:07:59,SiH7
109998,110500,110500,109998,0,18,2025-06-05 10:18:00,2025-06-05 10:18:59,SiH7
109200,109200,109200,109200,0,1,2025-06-05 10:32:00,2025-06-05 10:32:59,SiH7
109200,109200,109200,109200,0,2,2025-06-05 10:33:00,2025-06-05 10:33:59,SiH7
109200,109200,109200,109200,0,1,2025-06-05 10:34:00,2025-06-05 10:34:59,SiH7
109200,109200,109200,109200,0,1,2025-06-05 10:36:00,2025-06-05 10:36:59,SiH7
110280,110280,110280,110280,0,1,2025-06-05 11:10:00,2025-06-05 11:10:59,SiH7
110120,110120,110120,110120,0,1,2025-06-05 12:47:00,2025-06-05 12:47:59,SiH7
110000,110000,110000,110000,0,4,2025-06-05 12:49:00,2025-06-05 12:49:59,SiH7
108132,108132,108132,108132,0,1,2025-06-05 17:23:00,2025-06-05 17:23:59,SiH7
109199,109199,109199,109199,0,1,2025-06-05 18:23:00,2025-06-05 18:23:59,SiH7
108115,108115,108115,108115,0,1,2025-06-05 19:28:00,2025-06-05 19:28:59,SiH7
107617,107617,107617,107617,0,1,2025-06-05 20:32:00,2025-06-05 20:32:59,SiH7
109055,109055,109055,109055,0,1,2025-06-06 10:58:00,2025-06-06 10:58:59,SiH7
108946,108962,108962,108946,0,3,2025-06-11 14:49:00,2025-06-11 14:49:59,SiH7
108831,108997,108997,108831,0,2,2025-06-13 10:46:00,2025-06-13 10:46:59,SiH7
109204,109204,109204,109204,0,1,2025-06-13 10:57:00,2025-06-13 10:57:59,SiH7
108209,108209,108209,108209,0,2,2025-06-13 13:16:00,2025-06-13 13:16:59,SiH7
108208,108208,108208,108208,0,3,2025-06-13 17:28:00,2025-06-13 17:28:59,SiH7
107550,107550,107550,107550,0,1,2025-06-16 15:44:00,2025-06-16 15:44:59,SiH7
108000,108000,108000,108000,0,1,2025-06-16 15:55:00,2025-06-16 15:55:59,SiH7
107999,108000,108000,107999,0,4,2025-06-18 11:17:00,2025-06-18 11:17:59,SiH7
108000,108000,108000,108000,0,1,2025-06-18 12:36:00,2025-06-18 12:36:59,SiH7
108020,108038,108038,108020,0,2,2025-06-18 14:59:00,2025-06-18 14:59:59,SiH7
108030,108030,108030,108030,0,1,2025-06-18 16:10:00,2025-06-18 16:10:59,SiH7
107557,107557,107557,107557,0,1,2025-06-19 18:08:00,2025-06-19 18:08:59,SiH7
107645,107116,107645,107116,0,4,2025-06-20 10:01:00,2025-06-20 10:01:59,SiH7
106745,105565,106745,105565,0,7,2025-06-20 10:32:00,2025-06-20 10:32:59,SiH7
107153,107153,107153,107153,0,1,2025-06-20 10:49:00,2025-06-20 10:49:59,SiH7
107403,107403,107403,107403,0,1,2025-06-20 11:31:00,2025-06-20 11:31:59,SiH7
107387,107387,107387,107387,0,1,2025-06-20 16:12:00,2025-06-20 16:12:59,SiH7
107270,107270,107270,107270,0,1,2025-06-20 17:17:00,2025-06-20 17:17:59,SiH7
